,Dialogue
1237,well n't hoped
1238,n't bliffert blue turtleneck maybe 's flight chicago
1239,oh 'd love
1240,'m oh guitar
1241,hi
1242,yes course fish
1243,oh husband sick something please
1244,wo n't
1245,course
1246,oh yes saw poor
1247,yes
1248,yeah
1249,saying saying yes
1250,think 're little scared might find light go little scared lot curious maybe want admit n't turn curiosity fear swirling together think broadening horizon
1251,virgin find arousing
1252,know n't hang around let entertain 's right tell truth ever made one u
1253,n't know either
1254,look n't know mr strader might come go
1255,'ve got wrong n't charge money something find pleasurable
1256,oooh hardball sound interesting going strike could tie whatever want 've got rope
1257,
1258,well wrong excuse change
1259,'s ask
1260,ss'ai k'ss perfect
1261,'s right
1262,looking foreign compound blood alien dropped day
1263,mean blob 're finishing
1264,oh 's extra headshot need one 're start cutting 're welcome stick around want 's really fascinating stuff
1265,'s way people n't hit pump piss
1266,lucky got well loosely refer heart
1267,took gut n't
1268,id well know fingerprint could tough buddy morning went mug could n't make facial match
1269,yeah one helder male twenty seven let 's see wrap sheet show one armed robbery conviction couple sale controlled substance oh yeah wired coke stopped clock
1270,yeah right n't push luck anyway according sheet nailed outside car
1271,know 've alterez morning
1272,okay
1273,'s alive brought know
1274,'re leaving
1275,much time
1276,'s going closer better get going
1277,right let 's get 'll need
1278,
1279,'s late shut
1280,blow
1281,could intelligent
1282,'re saying one thing lay egg
1283,thing come eggsso egg coming
1284,would mean lot parasite right one personover hundred least
1285,let get straight alien paralyzed colonist carried cocooned host
1286,sorry disappoint
1287,sent n't even warn n't warn
1288,sent ship checked colony log directive date six twelve seventy nine signed
1289,know like 'll know responsible death one hundred fifty seven colonist
1290,try getting dangerous organism past icc quarantine section 22350 commerce code
1291,operation military jurisdiction next chain command right
1292,rank believe authority
1293,son bitch
1294,bullshit
1295,got tab running 's second
1296,
1297,good know 'll effect biochemistry say take entire site orbit 's way sure
1298,'s mean men use weapon 'll rupture cooling system
1299,'re right primary heat exchanger
1300,atmosphere processor
1301,'re right really
1302,never said anything android
1303,tell one thing 're going kill study bring back burn outclean forever
1304,answer please go 'm sorry go would
1305,spare 've psych evaluation month
1306,go
1307,'s could get anyway keep mind everything day worse
1308,'s right
1309,yeah yeah saw commercial
1310,'s interest
1311,reamed steamed dry cleaned guysand want go back forget
1312,'s way
1313,mind made even went think 'm
1314,get picture
1315,read depositionit 's complete accurate
1316,
1317,
1318,located yet
1319,fifty sevenoh christ
1320,forget
1321,feel
1322,'re something
1323,get
1324,sothen fusion containment shuts
1325,n't know
1326,give rest would
1327,one u
1328,structure seems intact power
1329,drop
1330,
1331,n't let leave
1332,'s alive
1333,locked
1334,learned cut power avoided gun must found another way something missed
1335,get back fall back operation
1336,know n't know specie worse n't see screwing fucking percentage
1337,way would work sabotaged certain freezer back could jettison body make story liked
1338,look started show everything handle
1339,'s
1340,'m going wind like others 'll take care wo n't come
1341,'ll get u
1342,n't know 're probably looking way get 'll take awhile
1343,many
1344,way
1345,'s right put welded barricade intersection seal duct come u two corridor create free field fire two unit
1346,right 's fire door end first thing put remote tunnel seal door
1347,'re declared overdue expect rescue
1348,removed surgically embryo implantation subject marachuk l died procedure killed getting
1349,ca n't 's inside room
1350,'re right u
1351,n't know acid hole duct something floor plan n't know
1352,seal door
1353,get back
1354,cut power
1355,well somebody 's going go take portable terminal go plug manually
1356,colony transmitter end ca n't use
1357,n't care think way think something
1358,need drop ship one sulaco bring remote somehow
1359,thanks
1360,service tunnel 're moving back forth
1361,survived longer weapon training
1362,ca n't help right 're cocooned like others
1363,look like stung
1364,embryo second form host victim 's several hour gestating itemerges moult grows rapidly
1365,'ve slept enough
1366,gateway station
1367,terrible
1368,yes think
1369,dream
1370,'s right
1371,going sleep
1372,right right
1373,mommymommy
1374,want hang hang tight
1375,knew 'd come
1376,wait
1377,way come 're almost
1378,sure go left
1379,know get landing field
1380,come crawl faster
1381,look
1382,open door
1383,know
1384,mommyi mean ripleyi 'm scared
1385,sssh n't move 're trouble
1386,wah
1387,wake
1388,'ll right room looki see camera right
1389,n't go please
1390,mean dead
1391,gone
1392,
1393,yes little
1394,ever
1395,'s different
1396,n't baby come mean people babiesthey grow inside
1397,n't know 's truth
1398,one thing grow inside
1399,well ca n't handle like
1400,tell little
1401,yes n't
1402,mommy always said monster real one
1403,oh sorry
1404,ripleyshe n't bad dream 's piece plastic
1405,n't want toi scary dream
1406,lie nap 're exhausted
1407,n't sorry n't fault
1408,'m sorry
1409,guess 're leaving right
1410,'re really something
1411,yeah know floor could hide better anybody
1412,'maze ' mean air duct
1413,best game knew whole maze
1414,die
1415,heart
1416,promise
1417,look menewt wo n't leave promise
1418,'re dead
1419,'d could know would
1420,'ll gone soon like others like everybody 'll dead 'll leave alone
1421,
1422,n't want friend
1423,
1424,'s friend
1425,n name 's nobody call except dork
1426,say
1427,sweet
1428,many colonist
1429,talking people
1430,wo n't check lv 426
1431,one thing managed kill entire crew within twelve hour hatching
1432,look see going 'm telling thing exist back planetoid alien ship ship thousand egg thousand understand suggest find using flight recorder 's find deal one survey team come back little surprise
1433,'s blew goddamn airlock like said
1434,look told
1435,meaning n't like
1436,think music
1437,tell honestly
1438,nothing marry plea n't give damn
1439,marriage
1440,know heard
1441,look n't concern maestro talent interest taste
1442,
1443,look like
1444,oh well perhaps could introduce u anyway
1445,turkish oh 's turkish 's different want
1446,oh
1447,'s
1448,
1449,
1450,know
1451,part
1452,'s commissioned write opera true
1453,well heard met herr
1454,well like 's turkish hairdresser tell everything 's going turkish year
1455,maestro
1456,ca n't take away night wo n't introduce u wolfgang
1457,assume 's virtuoso department ca n't reason 'd marry someone like
1458,good fuck
1459,'m relieved
1460,still lying floor
1461,n't bother
1462,n't bother
1463,feel wrong feel wrong
1464,yes
1465,want go back vienna
1466,want go
1467,please let sit let stay promise wo n't say word 'll know one 's going hurt please please
1468,
1469,give one reason understand
1470,oh yes sir 's right 's working hard
1471,
1472,
1473,'s oh gave much wolfi gave
1474,heard
1475,
1476,shut 'll let put anything see money
1477,half house 'll never see want
1478,n't trust n't like opera common
1479,need money either pay n't
1480,'re going
1481,'m talking much give payment
1482,dead
1483,wolfi dead
1484,gentleman salzburg
1485,wolfi
1486,'s right hear 'm sick ca n't anything right
1487,look old stay spend fortune possibly afford criticize morning night think
1488,wo n't talk say speak
1489,n't know
1490,'s young see
1491,wolfi think 's tired 'll u something
1492,wolfi
1493,offer tea herr
1494,stop wolfi look dreadful welcome house herr
1495,love love
1496,
1497,tell go
1498,tell go away n't want see anybody
1499,n't pride 's sheer stupidity
1500,want see work 's wrong
1501,going live wolfi want go street beg
1502,yes
1503,well 'm borrowing money 's
1504,know thing work city
1505,one royal pupil whole vienna come flocking 'd set life
1506,think 're mad 're really mad
1507,excuse wolfi feeling well leave
1508,eat ah
1509,eat
1510,
1511,tub tub vol love love ui love
1512,iram marry marry 're fiend 'm going marry fiend dirty fiend
1513,
1514,'m playing game
1515,sra 'm sick sick kiss 'm kiss sra 'm sick kiss arse
1516,yes 're sick
1517,oh ha ha ha
1518,think 's funny
1519,'s stupid
1520,
1521,'ve got something tell want complain
1522,fartsbishop
1523,
1524,
1525,stop
1526,regret servant show herr respect wish go
1527,'s going work anymore making ill please
1528,handwriting
1529,'m asking
1530,n't n't want go please
1531,well thank much go
1532,
1533,
1534,stay 's charming room love candlestick earlier n't notice suppose nervous
1535,apologize afternoon behaved like silly shall go
1536,'m married
1537,mean
1538,
1539,tonight
1540,oh thank sir
1541,oh yes 's really proud work
1542,yes sir n't make copy
1543,yes
1544,'s tempting 's impossible 'm afraid wolfi would frantic found missing see 're original
1545,thank much excellency
1546,sir really need job 're desperate husband spends far ever earn n't mean 's lazy 's work day 's 's practical money simply slip finger 's really ridiculous excellency know help musician 're famous give one post 'd forever indebted
1547,sir idea
1548,husband proud sir would knew 'd come
1549,really excellency see n't know 'm
1550,would much trouble sir ask look wait
1551,'s terribly busy sir
1552,'s right excellency 've come behalf hus 'm 'm bringing sample work considered royal appointment
